State,District,Market,Commodity,Variety,Grade,Arrival_Date,Min_x0020_Price,Max_x0020_Price,Modal_x0020_Price
"Andhra Pradesh",Anantapur,Hindupur,"Dry Chillies","1st Sort",FAQ,21/01/2025,7500,16500,16500
"Andhra Pradesh",Anantapur,Kadiri,Groundnut,Kadiri-3,FAQ,21/01/2025,7000,8000,7500
"Andhra Pradesh",Chittor,Chittoor,Gur(Jaggery),"NO 2",FAQ,21/01/2025,3200,3500,3500
"Andhra Pradesh",Chittor,Kalikiri,Tomato,Local,FAQ,21/01/2025,1260,1600,1400
"Andhra Pradesh",Cuddapah,Proddatur,Paddy(Dhan)(Common),1001,FAQ,21/01/2025,2300,2500,2400
"Andhra Pradesh","East Godavari",Jaggampet,Paddy(Dhan)(Common),Common,FAQ,21/01/2025,2300,2320,2320
"Andhra Pradesh","East Godavari",Kakinada,Paddy(Dhan)(Common),Common,FAQ,21/01/2025,2300,2320,2305
"Andhra Pradesh","East Godavari",Karapa,Paddy(Dhan)(Common),1001,FAQ,21/01/2025,2300,2400,2350
Chandigarh,Chandigarh,Chandigarh(Grain/Fruit),"Bottle gourd",Other,FAQ,21/01/2025,800,1300,1100
Chandigarh,Chandigarh,Chandigarh(Grain/Fruit),Ginger(Green),Other,FAQ,21/01/2025,2000,3800,3000
Chandigarh,Chandigarh,Chandigarh(Grain/Fruit),Lemon,Other,FAQ,21/01/2025,2000,4000,3500
Gujarat,Amreli,Amreli,"Castor Seed","Castor seed",FAQ,21/01/2025,5125,6045,5950
Gujarat,Amreli,Amreli,"Chili Red",Bold,FAQ,21/01/2025,3050,16750,12450
Gujarat,Amreli,Amreli,"Cummin Seed(Jeera)","Cummin Seed(Jeera)",FAQ,21/01/2025,12500,21525,20475
Gujarat,Amreli,Amreli,Groundnut,"Big (With Shell)",FAQ,21/01/2025,4125,5705,5480
Gujarat,Amreli,Dhari,"Bengal Gram(Gram)(Whole)",Other,Non-FAQ,21/01/2025,5130,5130,5130
Gujarat,Amreli,Savarkundla,"Bengal Gram(Gram)(Whole)","Average (Whole)",FAQ,21/01/2025,5255,5655,5455
Gujarat,Anand,"Anand(Veg,Yard,Anand)",Brinjal,Brinjal,FAQ,21/01/2025,500,750,600
Gujarat,Anand,"Anand(Veg,Yard,Anand)",Carrot,Carrot,FAQ,21/01/2025,1000,1500,1250
Gujarat,Anand,"Anand(Veg,Yard,Anand)",Onion,Onion,FAQ,21/01/2025,1500,2000,1700
Gujarat,Anand,"Anand(Veg,Yard,Anand)",Spinach,Spinach,FAQ,21/01/2025,500,750,600
Gujarat,Anand,"Khambhat(Veg Yard Khambhat)","Bottle gourd","Bottle Gourd",FAQ,21/01/2025,1000,1500,1250
Gujarat,Anand,"Khambhat(Veg Yard Khambhat)",Potato,Other,FAQ,21/01/2025,1400,1700,1550
Gujarat,Anand,"Khambhat(Veg Yard Khambhat)","Sweet Potato","Hosur Green",FAQ,21/01/2025,2000,2500,2250
Gujarat,Banaskanth,Deesa,"Bajra(Pearl Millet/Cumbu)",Other,FAQ,21/01/2025,2775,3095,2900
Gujarat,Banaskanth,Deesa,"Castor Seed",Other,FAQ,21/01/2025,6250,6350,6325
Gujarat,Banaskanth,Deesa,Groundnut,Other,FAQ,21/01/2025,5000,5575,5250
Gujarat,Banaskanth,Deesa,"Guar Seed(Cluster Beans Seed)",Other,FAQ,21/01/2025,5005,5105,5050
Gujarat,Banaskanth,"Deesa(Deesa Veg Yard)","Bhindi(Ladies Finger)",Other,FAQ,21/01/2025,4000,4900,4450
Gujarat,Banaskanth,"Deesa(Deesa Veg Yard)","Green Chilli",Other,FAQ,21/01/2025,3500,4350,3925
Gujarat,Banaskanth,"Deesa(Deesa Veg Yard)",Lemon,Other,FAQ,21/01/2025,1750,2400,2075
Gujarat,Banaskanth,"Deesa(Deesa Veg Yard)","Peas cod",Other,FAQ,21/01/2025,2500,3300,2900
Gujarat,Banaskanth,Dhanera,"Sesamum(Sesame,Gingelly,Til)",Other,FAQ,21/01/2025,9500,9500,9500
Gujarat,Banaskanth,Panthawada,Wheat,Other,FAQ,21/01/2025,3000,3000,3000
Gujarat,Bharuch,Jambusar,"Bajra(Pearl Millet/Cumbu)",Other,FAQ,21/01/2025,2100,2500,2300
Gujarat,Bharuch,Jambusar,"Castor Seed",Other,FAQ,21/01/2025,5200,5600,5400
Gujarat,Bharuch,Jambusar,Cotton,Other,FAQ,21/01/2025,6600,7000,6800
Gujarat,Bharuch,Jambusar(Kaavi),"Arhar (Tur/Red Gram)(Whole)",Other,FAQ,21/01/2025,7800,8200,8000
Gujarat,Bharuch,Jambusar(Kaavi),Cotton,Other,FAQ,21/01/2025,6400,6800,6600
Gujarat,Botad,Botad,"Cummin Seed(Jeera)",Other,FAQ,21/01/2025,19000,21200,20150
Gujarat,Botad,Botad,Jowar(Sorghum),Other,FAQ,21/01/2025,2000,4675,3250
Gujarat,Botad,Botad,"Sesamum(Sesame,Gingelly,Til)",White,FAQ,21/01/2025,7500,9450,8500
Gujarat,Dahod,Dahod,"Castor Seed","Castor seed",FAQ,21/01/2025,5800,5900,5850
Gujarat,Dahod,Dahod,Soyabean,Soyabeen,FAQ,21/01/2025,4150,4290,4250
Gujarat,Dahod,Dahod,Wheat,Lokwan,FAQ,21/01/2025,3300,3400,3350
Gujarat,Dahod,"Dahod(Veg. Market)",Brinjal,Brinjal,FAQ,21/01/2025,300,1500,1000
Gujarat,Dahod,"Dahod(Veg. Market)","Cluster beans","Cluster Beans",FAQ,21/01/2025,5000,6000,5500
Gujarat,Dahod,"Dahod(Veg. Market)",Garlic,Other,FAQ,21/01/2025,10000,20000,15000
Gujarat,Dahod,"Dahod(Veg. Market)","Onion Green","Onion Green",FAQ,21/01/2025,500,1200,900
Gujarat,Dahod,"Dahod(Veg. Market)","Sweet Potato","Sweet Potato",FAQ,21/01/2025,700,2500,1500
Gujarat,Gandhinagar,Dehgam,"Bajra(Pearl Millet/Cumbu)",Other,FAQ,21/01/2025,2875,2950,2912
Gujarat,Gandhinagar,"Mansa(Manas Veg Yard)",Cabbage,Other,FAQ,21/01/2025,250,500,250
Gujarat,Gandhinagar,"Mansa(Manas Veg Yard)",Lemon,Other,FAQ,21/01/2025,5000,5000,5000
Gujarat,"Gir Somnath",Una,Cotton,"Shanker 6 (B) 30mm FIne",FAQ,21/01/2025,6750,7300,7225
Gujarat,"Gir Somnath",Veraval,Groundnut,G20,FAQ,21/01/2025,4795,5675,5585
Gujarat,Kheda,Kapadvanj,"Bottle gourd",Other,FAQ,21/01/2025,500,600,550
Gujarat,Morbi,Halvad,"Castor Seed",Other,FAQ,21/01/2025,6175,6365,6300
Gujarat,Morbi,Halvad,"Corriander seed",Other,FAQ,21/01/2025,6250,7575,7125
Gujarat,Morbi,Halvad,"Sesamum(Sesame,Gingelly,Til)",White,FAQ,21/01/2025,8000,10300,9500
Gujarat,Morbi,Morbi,Brinjal,Brinjal,FAQ,21/01/2025,500,1500,1000
Gujarat,Morbi,Morbi,Onion,Onion,FAQ,21/01/2025,500,2300,1400
Gujarat,Morbi,Morbi,"Sesamum(Sesame,Gingelly,Til)",White,FAQ,21/01/2025,7500,10500,9000
Gujarat,Morbi,Vankaner,Cotton,Other,FAQ,21/01/2025,6250,7350,7150
Gujarat,Morbi,Vankaner,Soanf,Soanf,FAQ,21/01/2025,5500,7175,6375
Gujarat,Morbi,Vankaner,Wheat,Other,FAQ,21/01/2025,2650,3250,3000
Gujarat,Navsari,Bilimora,Cabbage,Other,FAQ,21/01/2025,500,750,600
Gujarat,Navsari,Bilimora,"Green Chilli",Other,FAQ,21/01/2025,4000,4500,4200
Gujarat,Navsari,Chikhali,Chikoos(Sapota),Other,Small,21/01/2025,125,2375,1250
Gujarat,Navsari,Navsari,Brinjal,"Arkasheela Mattigulla",FAQ,21/01/2025,1250,2000,1625
Gujarat,Navsari,Navsari,"Cluster beans","Cluster Beans",FAQ,21/01/2025,6500,7000,6750
Gujarat,Navsari,Navsari,Cowpea(Veg),"Cowpea (Veg)",FAQ,21/01/2025,3000,3500,3250
Gujarat,Rajkot,Dhoraji,"Black Gram (Urd Beans)(Whole)","Rajkot T-9",FAQ,21/01/2025,6750,7805,7730
Gujarat,Rajkot,Dhoraji,Cotton,"H.B (Unginned)",FAQ,21/01/2025,6480,7355,7230
Gujarat,Rajkot,"Gondal(Veg.market Gondal)",Carrot,Carrot,FAQ,21/01/2025,1000,2500,1750
Gujarat,Rajkot,"Gondal(Veg.market Gondal)","Green Chilli","Green Chilly",FAQ,21/01/2025,1000,3000,2000
Gujarat,Rajkot,"Gondal(Veg.market Gondal)",Guar,Gwar,FAQ,21/01/2025,4000,6000,5000
Gujarat,Rajkot,Jasdan,"Arhar (Tur/Red Gram)(Whole)",Other,FAQ,21/01/2025,4755,8025,6500
Gujarat,Rajkot,Jasdan,"Cummin Seed(Jeera)","Cummin Seed(Jeera)",FAQ,21/01/2025,19000,21750,20675
Gujarat,Rajkot,Jasdan,"Sesamum(Sesame,Gingelly,Til)",White,FAQ,21/01/2025,6250,11000,9000
Gujarat,Rajkot,Jasdan,Wheat,"2189 No. 1",FAQ,21/01/2025,2550,3055,2600
Gujarat,Rajkot,Jetpur(Dist.Rajkot),"Sesamum(Sesame,Gingelly,Til)",White,FAQ,21/01/2025,7500,10950,10500
Gujarat,Rajkot,Jetpur(Dist.Rajkot),Soyabean,Soyabeen,FAQ,21/01/2025,3850,4200,4050
Gujarat,Rajkot,Jetpur(Dist.Rajkot),Wheat,Other,FAQ,21/01/2025,3055,3225,3125
Gujarat,Rajkot,Rajkot,"Castor Seed",Caster,FAQ,21/01/2025,6110,6395,6225
Gujarat,Rajkot,Rajkot,"Corriander seed","A-1, Green",FAQ,21/01/2025,6300,9230,7600
Gujarat,Rajkot,Rajkot,Jowar(Sorghum),"Jowar (Yellow)",FAQ,21/01/2025,2055,2770,2425
Gujarat,Rajkot,Rajkot,Wheat,Lokwan,FAQ,21/01/2025,3000,3250,3200
Gujarat,Rajkot,"Rajkot(Veg.Sub Yard)",Ginger(Green),"Green Ginger",FAQ,21/01/2025,4500,5500,5000
Gujarat,Rajkot,"Rajkot(Veg.Sub Yard)","Green Chilli","Green Chilly",FAQ,21/01/2025,3500,4500,4000
Gujarat,Surat,Mahuva(Anaval),"Pointed gourd (Parval)",Other,FAQ,21/01/2025,9500,9700,9600
Gujarat,Surat,Nizar(Pumkitalov),Cotton,Other,Non-FAQ,21/01/2025,6915,7145,7050
Gujarat,Surat,Surat,"Banana - Green",Other,FAQ,21/01/2025,1000,1700,1350
Gujarat,Surat,Surat,Capsicum,Other,FAQ,21/01/2025,1100,2100,1550
Gujarat,Surat,Surat,Lemon,Other,FAQ,21/01/2025,1500,5000,3250
Gujarat,Surat,Surat,Pumpkin,Other,FAQ,21/01/2025,1000,2300,1650
Gujarat,Surat,Surat,"Rat Tail Radish (Mogari)",Other,FAQ,21/01/2025,2000,5500,3750
Gujarat,Surat,Surat,"Sweet Potato",Other,FAQ,21/01/2025,2000,3250,2625
Gujarat,Surat,Surat,Tomato,Other,FAQ,21/01/2025,400,1100,750
Gujarat,Surendranagar,Chotila,Cotton,"Shanker 6 (B) 30mm FIne",FAQ,21/01/2025,6750,7350,7250
Gujarat,Surendranagar,Dhragradhra,"Corriander seed","Coriander Seed",FAQ,21/01/2025,6000,6500,6250
Gujarat,Surendranagar,Dhragradhra,"Sesamum(Sesame,Gingelly,Til)",White,FAQ,21/01/2025,8475,8600,8525
Gujarat,Surendranagar,Vadhvan,Cabbage,Cabbage,FAQ,21/01/2025,500,1000,750
Gujarat,Surendranagar,Vadhvan,Carrot,Carrot,FAQ,21/01/2025,2000,2500,2250
Gujarat,Surendranagar,Vadhvan,"French Beans (Frasbean)","French Beans (Frasbean)",FAQ,21/01/2025,1000,2000,1500
Gujarat,Surendranagar,Vadhvan,Guar,Gwar,FAQ,21/01/2025,10000,10500,10250
Gujarat,Surendranagar,Vadhvan,Spinach,Spinach,FAQ,21/01/2025,500,1000,750
Gujarat,Vadodara(Baroda),Padra,Cabbage,Other,FAQ,21/01/2025,500,600,550
Gujarat,Vadodara(Baroda),Padra,Drumstick,Other,FAQ,21/01/2025,3500,6000,4750
Gujarat,Vadodara(Baroda),Padra,Ginger(Green),Other,FAQ,21/01/2025,3000,3300,3150
Gujarat,Vadodara(Baroda),Padra,Lemon,Other,FAQ,21/01/2025,5000,6000,5500
Gujarat,Vadodara(Baroda),Padra,Methi(Leaves),Other,FAQ,21/01/2025,800,1000,900
Gujarat,Vadodara(Baroda),Padra,"Pegeon Pea (Arhar Fali)",Other,FAQ,21/01/2025,3750,4000,3900
Gujarat,Vadodara(Baroda),Padra,Tomato,Other,FAQ,21/01/2025,800,900,850
Gujarat,Valsad,Pardi(Motavagachiya),Chikoos(Sapota),Other,Large,21/01/2025,3000,3500,3500
